#averaged cross section (2l+1) excluded
#ang  Lt=0       Lt=1       Lt=2       Lt=3       Lt=4       Lt=5       Lt=6       Lt=7       Lt=8       Lt=9
  158  2.5327e-03  6.1412e-03
  160  2.5046e-03  6.1489e-03
  162  2.4826e-03  6.1836e-03
  164  2.4640e-03  6.2383e-03
  166  2.4460e-03  6.3055e-03
  168  2.4267e-03  6.3776e-03
  170  2.4051e-03  6.4478e-03
  172  2.3814e-03  6.5111e-03
  174  2.3568e-03  6.5632e-03
  176  2.3338e-03  6.6018e-03
  178  2.3147e-03  6.6254e-03
  180  2.3021e-03  6.6333e-03
